 time            v(vout)         @l1[i]          @l2[i]          v(nl2,nd1)      @d1[id]         @rl[i]         
 7.80379489e-02 -3.57940229e+01  2.99999687e+00 -4.13737674e+00  8.36506088e+01  7.13737355e+00 -3.97711366e+00 
 7.80379490e-02 -3.57940357e+01  2.99999652e+00 -4.13737314e+00  8.36506118e+01  7.13736956e+00 -3.97711507e+00 
 7.80379492e-02 -3.57940612e+01  2.99999580e+00 -4.13736593e+00  8.36506178e+01  7.13736164e+00 -3.97711791e+00 
 7.80379496e-02 -3.57941122e+01  2.99999436e+00 -4.13735152e+00  8.36506298e+01  7.13734580e+00 -3.97712358e+00 
 7.80379504e-02 -3.57942143e+01  2.99999149e+00 -4.13732270e+00  8.36506538e+01  7.13731411e+00 -3.97713492e+00 
 7.80379520e-02 -3.57944183e+01  2.99998575e+00 -4.13726506e+00  8.36507018e+01  7.13725073e+00 -3.97715759e+00 
 7.80379552e-02 -3.57948260e+01  2.99997427e+00 -4.13714979e+00  8.36507978e+01  7.13712397e+00 -3.97720289e+00 
 7.80379616e-02 -3.57956402e+01  2.99995131e+00 -4.13691923e+00  8.36509898e+01  7.13687045e+00 -3.97729335e+00 
 7.80379744e-02 -3.57972637e+01  2.99990538e+00 -4.13645810e+00  8.36513738e+01  7.13636339e+00 -3.97747374e+00 
 7.80380000e-02 -3.58004911e+01  2.99981352e+00 -4.13553577e+00  8.36521418e+01  7.13534921e+00 -3.97783234e+00 
 7.80380512e-02 -3.58068677e+01  2.99962981e+00 -4.13369087e+00  8.36536776e+01  7.13332059e+00 -3.97854085e+00 
 7.80381536e-02 -3.58193101e+01  2.99926235e+00 -4.13000011e+00  8.36567490e+01  7.12926237e+00 -3.97992334e+00 
 7.80383099e-02 -3.58375038e+01  2.99870159e+00 -4.12436607e+00  8.36614350e+01  7.12306757e+00 -3.98194487e+00 
 7.80384661e-02 -3.58547516e+01  2.99814076e+00 -4.11872926e+00  8.36661200e+01  7.11686993e+00 -3.98386129e+00 
 7.80386224e-02 -3.58710661e+01  2.99757985e+00 -4.11308983e+00  8.36708041e+01  7.11066960e+00 -3.98567401e+00 
 7.80387786e-02 -3.58864596e+01  2.99701887e+00 -4.10744793e+00  8.36754874e+01  7.10446672e+00 -3.98738440e+00 
 7.80389349e-02 -3.59009447e+01  2.99645782e+00 -4.10180370e+00  8.36801698e+01  7.09826144e+00 -3.98899385e+00 
 7.80390911e-02 -3.59145334e+01  2.99589670e+00 -4.09615728e+00  8.36848514e+01  7.09205389e+00 -3.99050371e+00 
 7.80392474e-02 -3.59272379e+01  2.99533550e+00 -4.09050880e+00  8.36895320e+01  7.08584422e+00 -3.99191532e+00 
 7.80394036e-02 -3.59390700e+01  2.99477424e+00 -4.08485842e+00  8.36942118e+01  7.07963257e+00 -3.99323000e+00 
 7.80395599e-02 -3.59500414e+01  2.99421289e+00 -4.07920625e+00  8.36988907e+01  7.07341907e+00 -3.99444904e+00 
 7.80397161e-02 -3.59601638e+01  2.99365148e+00 -4.07355245e+00  8.37035687e+01  7.06720384e+00 -3.99557376e+00 
 7.80398724e-02 -3.59694486e+01  2.99308999e+00 -4.06789713e+00  8.37082458e+01  7.06098704e+00 -3.99660540e+00 
 7.80400286e-02 -3.59779072e+01  2.99252843e+00 -4.06224042e+00  8.37129221e+01  7.05476877e+00 -3.99754525e+00 
 7.80401849e-02 -3.59855507e+01  2.99196680e+00 -4.05658246e+00  8.37175975e+01  7.04854918e+00 -3.99839452e+00 
 7.80403411e-02 -3.59923902e+01  2.99140510e+00 -4.05092338e+00  8.37222720e+01  7.04232839e+00 -3.99915447e+00 
 7.80404974e-02 -3.59984365e+01  2.99084332e+00 -4.04526329e+00  8.37269456e+01  7.03610653e+00 -3.99982628e+00 
 7.80406536e-02 -3.60037005e+01  2.99028147e+00 -4.03960232e+00  8.37316184e+01  7.02988371e+00 -4.00041117e+00 
 7.80408099e-02 -3.60081928e+01  2.98971955e+00 -4.03394059e+00  8.37362903e+01  7.02366006e+00 -4.00091031e+00 
 7.80409661e-02 -3.60119239e+01  2.98915755e+00 -4.02827823e+00  8.37409613e+01  7.01743570e+00 -4.00132488e+00 
 7.80411224e-02 -3.60149041e+01  2.98859548e+00 -4.02261534e+00  8.37456314e+01  7.01121074e+00 -4.00165601e+00 
 7.80412786e-02 -3.60171438e+01  2.98803334e+00 -4.01695205e+00  8.37503006e+01  7.00498531e+00 -4.00190486e+00 
 7.80414349e-02 -3.60186530e+01  2.98747113e+00 -4.01128847e+00  8.37549690e+01  6.99875951e+00 -4.00207255e+00 
 7.80415911e-02 -3.60194417e+01  2.98690884e+00 -4.00562471e+00  8.37596365e+01  6.99253347e+00 -4.00216019e+00 
 7.80417474e-02 -3.60195199e+01  2.98634648e+00 -3.99996089e+00  8.37643031e+01  6.98630729e+00 -4.00216888e+00 
 7.80419036e-02 -3.60188972e+01  2.98578405e+00 -3.99429712e+00  8.37689688e+01  6.98008109e+00 -4.00209969e+00 
 7.80420599e-02 -3.60175833e+01  2.98522155e+00 -3.98863350e+00  8.37736336e+01  6.97385496e+00 -4.00195370e+00 
 7.80422161e-02 -3.60155878e+01  2.98465897e+00 -3.98297014e+00  8.37782976e+01  6.96762903e+00 -4.00173198e+00 
 7.80423724e-02 -3.60129200e+01  2.98409633e+00 -3.97730715e+00  8.37829607e+01  6.96140339e+00 -4.00143555e+00 
 7.80425286e-02 -3.60095891e+01  2.98353360e+00 -3.97164463e+00  8.37876229e+01  6.95517816e+00 -4.00106546e+00 
 7.80426849e-02 -3.60056044e+01  2.98297081e+00 -3.96598269e+00  8.37922842e+01  6.94895342e+00 -4.00062272e+00 
 7.80428411e-02 -3.60009750e+01  2.98240795e+00 -3.96032143e+00  8.37969447e+01  6.94272929e+00 -4.00010833e+00 
 7.80429974e-02 -3.59957097e+01  2.98184501e+00 -3.95466094e+00  8.38016043e+01  6.93650586e+00 -3.99952330e+00 
 7.80431536e-02 -3.59898174e+01  2.98128200e+00 -3.94900132e+00  8.38062630e+01  6.93028324e+00 -3.99886859e+00 
 7.80433099e-02 -3.59833067e+01  2.98071891e+00 -3.94334268e+00  8.38109208e+01  6.92406151e+00 -3.99814519e+00 
 7.80434661e-02 -3.59761865e+01  2.98015576e+00 -3.93768511e+00  8.38155777e+01  6.91784078e+00 -3.99735405e+00 
 7.80436224e-02 -3.59684650e+01  2.97959253e+00 -3.93202870e+00  8.38202338e+01  6.91162115e+00 -3.99649611e+00 
 7.80437786e-02 -3.59601508e+01  2.97902923e+00 -3.92637355e+00  8.38248889e+01  6.90540269e+00 -3.99557231e+00 
 7.80439349e-02 -3.59512521e+01  2.97846586e+00 -3.92071975e+00  8.38295432e+01  6.89918552e+00 -3.99458356e+00 
 7.80440911e-02 -3.59417771e+01  2.97790241e+00 -3.91506738e+00  8.38341966e+01  6.89296971e+00 -3.99353079e+00 
 7.80442474e-02 -3.59317339e+01  2.97733889e+00 -3.90941654e+00  8.38388492e+01  6.88675535e+00 -3.99241488e+00 
 7.80444036e-02 -3.59211306e+01  2.97677530e+00 -3.90376732e+00  8.38435008e+01  6.88054254e+00 -3.99123673e+00 
 7.80445599e-02 -3.59099750e+01  2.97621164e+00 -3.89811981e+00  8.38481516e+01  6.87433136e+00 -3.98999722e+00 
 7.80447161e-02 -3.58982749e+01  2.97564791e+00 -3.89247408e+00  8.38528015e+01  6.86812190e+00 -3.98869721e+00 
 7.80448724e-02 -3.58860379e+01  2.97508410e+00 -3.88683023e+00  8.38574505e+01  6.86191424e+00 -3.98733755e+00 
 7.80450286e-02 -3.58732718e+01  2.97452022e+00 -3.88118833e+00  8.38620986e+01  6.85570847e+00 -3.98591909e+00 
 7.80451849e-02 -3.58599841e+01  2.97395627e+00 -3.87554847e+00  8.38667459e+01  6.84950466e+00 -3.98444267e+00 
 7.80453411e-02 -3.58461820e+01  2.97339225e+00 -3.86991073e+00  8.38713922e+01  6.84330290e+00 -3.98290911e+00 
 7.80454974e-02 -3.58318731e+01  2.97282815e+00 -3.86427520e+00  8.38760377e+01  6.83710326e+00 -3.98131923e+00 
 7.80456536e-02 -3.58170644e+01  2.97226398e+00 -3.85864194e+00  8.38806823e+01  6.83090584e+00 -3.97967382e+00 
 7.80458099e-02 -3.58017632e+01  2.97169974e+00 -3.85301103e+00  8.38853260e+01  6.82471069e+00 -3.97797369e+00 
 7.80459661e-02 -3.57859765e+01  2.97113543e+00 -3.84738256e+00  8.38899689e+01  6.81851791e+00 -3.97621961e+00 
 7.80461224e-02 -3.57697112e+01  2.97057104e+00 -3.84175660e+00  8.38946108e+01  6.81232756e+00 -3.97441236e+00 
 7.80462786e-02 -3.57529744e+01  2.97000659e+00 -3.83613322e+00  8.38992519e+01  6.80613972e+00 -3.97255271e+00 
 7.80464349e-02 -3.57357727e+01  2.96944206e+00 -3.83051249e+00  8.39038921e+01  6.79995447e+00 -3.97064141e+00 
 7.80465911e-02 -3.57181128e+01  2.96887746e+00 -3.82489450e+00  8.39085314e+01  6.79377187e+00 -3.96867920e+00 
 7.80467331e-02 -3.57016790e+01  2.96836451e+00 -3.81979353e+00  8.39127450e+01  6.78815796e+00 -3.96685323e+00 
 7.80468750e-02 -3.56848776e+01  2.96785151e+00 -3.81469492e+00  8.39169579e+01  6.78254635e+00 -3.96498640e+00 
 7.80468751e-02 -3.56848656e+01  2.96785115e+00 -3.81469133e+00  8.39169608e+01  6.78254239e+00 -3.96498507e+00 
 7.80468753e-02 -3.56848417e+01  2.96785042e+00 -3.81468415e+00  8.39169668e+01  6.78253448e+00 -3.96498241e+00 
 7.80468754e-02 -3.56848357e+01  2.96785024e+00 -3.81468235e+00  8.39169683e+01  6.78253254e+00 -3.96498174e+00 
 7.80468754e-02 -3.56848252e+01  2.96784993e+00 -3.81467921e+00  8.39169709e+01  6.78252912e+00 -3.96498058e+00 
 7.80468755e-02 -3.56848136e+01  2.96784998e+00 -3.81467981e+00  8.39169704e+01 -1.00000008e-03 -3.96497929e+00 
 7.80468757e-02 -3.56847904e+01  2.96785091e+00 -3.81468915e+00  8.39169631e+01 -1.00000008e-03 -3.96497672e+00 
 7.80468760e-02 -3.56847579e+01  2.96785222e+00 -3.81470227e+00  8.39169527e+01 -1.00000008e-03 -3.96497310e+00 
 7.80468760e-02 -3.56847533e+01  2.96785240e+00 -3.81470413e+00  8.39169512e+01 -1.00000008e-03 -3.96497259e+00 
 7.80468761e-02 -3.56847440e+01  2.96785278e+00 -3.81470787e+00  8.39169482e+01 -1.00000008e-03 -3.96497156e+00 
 7.80468763e-02 -3.56847255e+01  2.96785352e+00 -3.81471535e+00  8.39169423e+01 -1.00000008e-03 -3.96496950e+00 
 7.80468766e-02 -3.56846884e+01  2.96785501e+00 -3.81473030e+00  8.39169305e+01 -1.00000008e-03 -3.96496537e+00 
 7.80468772e-02 -3.56846142e+01  2.96785798e+00 -3.81476020e+00  8.39169068e+01 -1.00000008e-03 -3.96495714e+00 
 7.80468784e-02 -3.56844660e+01  2.96786394e+00 -3.81482001e+00  8.39168595e+01 -1.00000008e-03 -3.96494066e+00 
 7.80468809e-02 -3.56841697e+01  2.96787584e+00 -3.81493963e+00  8.39167649e+01 -1.00000008e-03 -3.96490775e+00 
 7.80468859e-02 -3.56835781e+01  2.96789965e+00 -3.81517886e+00  8.39165756e+01 -1.00000008e-03 -3.96484201e+00 
 7.80468958e-02 -3.56823984e+01  2.96794726e+00 -3.81565734e+00  8.39161970e+01 -1.00000008e-03 -3.96471094e+00 
 7.80469156e-02 -3.56800536e+01  2.96804250e+00 -3.81661431e+00  8.39154397e+01 -1.00000008e-03 -3.96445040e+00 
 7.80469553e-02 -3.56754214e+01  2.96823296e+00 -3.81852836e+00  8.39139245e+01 -1.00000008e-03 -3.96393572e+00 
 7.80470347e-02 -3.56663866e+01  2.96861389e+00 -3.82235680e+00  8.39108918e+01 -1.00000008e-03 -3.96293184e+00 
