 time            v(vout)         @l1[i]         
 7.36403500e-05  2.15940026e+02  2.25839748e+00 
 7.46403500e-05  2.15963864e+02  2.14188915e+00 
 7.56403500e-05  2.15985220e+02  2.02535962e+00 
 7.66403500e-05  2.16004095e+02  1.90881147e+00 
 7.76403500e-05  2.16020488e+02  1.79224726e+00 
 7.86403500e-05  2.16034399e+02  1.67566959e+00 
 7.96403500e-05  2.16045828e+02  1.55908105e+00 
 8.06403500e-05  2.16054776e+02  1.44248426e+00 
 8.16403500e-05  2.16061242e+02  1.32588185e+00 
 8.26403500e-05  2.16065226e+02  1.20927651e+00 
 8.36403500e-05  2.16066729e+02  1.09267092e+00 
 8.46403500e-05  2.16065751e+02  9.76067837e-01 
 8.56403500e-05  2.16062293e+02  8.59470078e-01 
 8.66403500e-05  2.16056354e+02  7.42880547e-01 
 8.76403500e-05  2.16047935e+02  6.26302285e-01 
 8.86403500e-05  2.16037038e+02  5.09738547e-01 
 8.96403500e-05  2.16023661e+02  3.93192951e-01 
 9.06403500e-05  2.16007807e+02  2.76669825e-01 
 9.16403500e-05  2.15989476e+02  1.60175178e-01 
 9.26403500e-05  2.15968668e+02  4.37208915e-02 
 9.35388148e-05  2.15948445e+02  9.51853366e-08 
 9.42637691e-05  2.15931791e+02  1.34036023e-07 
 9.45900124e-05  2.15924297e+02  9.24754352e-08 
 9.49131075e-05  2.15916875e+02  1.21157423e-07 
 9.55592979e-05  2.15902033e+02  7.08414517e-08 
 9.65592979e-05  2.15879066e+02  1.19501333e-07 
 9.75592979e-05  2.15856101e+02  8.07728033e-08 
 9.85592979e-05  2.15833139e+02  1.19501221e-07 
 9.92796489e-05  2.15816599e+02  7.13796114e-08 
 1.00000000e-04  2.15800061e+02  1.05670526e-07 
 1.00000100e-04  2.15800059e+02  1.03655265e-07 
 1.00000300e-04  2.15800055e+02  1.03613443e-07 
 1.00000500e-04  2.15800050e+02  1.01055869e-05 
 1.00000683e-04  2.15800046e+02  2.84389177e-05 
 1.00001000e-04  2.15800038e+02  6.01055869e-05 
 1.00001037e-04  2.15800038e+02  6.37722530e-05 
 1.00001110e-04  2.15800036e+02  7.11055854e-05 
 1.00001257e-04  2.15800033e+02  8.57722500e-05 
 1.00001550e-04  2.15800026e+02  1.15105579e-04 
 1.00002137e-04  2.15800012e+02  1.73772238e-04 
 1.00003310e-04  2.15799985e+02  2.91105555e-04 
 1.00005657e-04  2.15799932e+02  5.25772189e-04 
 1.00010350e-04  2.15799824e+02  9.95105457e-04 
 1.00019737e-04  2.15799608e+02  1.93377199e-03 
 1.00038510e-04  2.15799177e+02  3.81110507e-03 
 1.00076057e-04  2.15798315e+02  7.56577121e-03 
 1.00151150e-04  2.15796591e+02  1.50751035e-02 
 1.00301337e-04  2.15793144e+02  3.00937681e-02 
 1.00601710e-04  2.15786248e+02  6.01310972e-02 
 1.01202456e-04  2.15772458e+02  1.20205756e-01 
 1.02202456e-04  2.15749505e+02  2.20205756e-01 
 1.03202456e-04  2.15726554e+02  3.20205756e-01 
 1.04202456e-04  2.15703605e+02  4.20205756e-01 
 1.05202456e-04  2.15680659e+02  5.20205756e-01 
 1.06202456e-04  2.15657716e+02  6.20205756e-01 
 1.07202456e-04  2.15634775e+02  7.20205756e-01 
 1.08202456e-04  2.15611836e+02  8.20205756e-01 
 1.09202456e-04  2.15588900e+02  9.20205756e-01 
 1.10202456e-04  2.15565966e+02  1.02020576e+00 
 1.11202456e-04  2.15543035e+02  1.12020576e+00 
 1.12202456e-04  2.15520106e+02  1.22020576e+00 
 1.13202456e-04  2.15497179e+02  1.32020576e+00 
 1.14202456e-04  2.15474255e+02  1.42020576e+00 
 1.15202456e-04  2.15451334e+02  1.52020576e+00 
 1.16202456e-04  2.15428415e+02  1.62020576e+00 
 1.17202456e-04  2.15405498e+02  1.72020576e+00 
 1.18202456e-04  2.15382584e+02  1.82020576e+00 
 1.19202456e-04  2.15359672e+02  1.92020576e+00 
 1.20202456e-04  2.15336762e+02  2.02020576e+00 
 1.21202456e-04  2.15313856e+02  2.12020576e+00 
 1.22202456e-04  2.15290951e+02  2.22020576e+00 
 1.23202456e-04  2.15268049e+02  2.32020576e+00 
 1.24202456e-04  2.15245149e+02  2.42020576e+00 
 1.25202456e-04  2.15222252e+02  2.52020576e+00 
 1.26202456e-04  2.15199357e+02  2.62020576e+00 
 1.27202456e-04  2.15176465e+02  2.72020576e+00 
 1.28202456e-04  2.15153575e+02  2.82020576e+00 
 1.29202456e-04  2.15130688e+02  2.92020576e+00 
 1.30202456e-04  2.15107803e+02  3.02020576e+00 
 1.31202456e-04  2.15084920e+02  3.12020576e+00 
 1.32202456e-04  2.15062040e+02  3.22020576e+00 
 1.33202456e-04  2.15039162e+02  3.32020576e+00 
 1.34202456e-04  2.15016287e+02  3.42020576e+00 
 1.35202456e-04  2.14993414e+02  3.52020576e+00 
 1.36202456e-04  2.14970544e+02  3.62020576e+00 
 1.37202456e-04  2.14947676e+02  3.72020576e+00 
 1.38202456e-04  2.14924810e+02  3.82020576e+00 
 1.39202456e-04  2.14901947e+02  3.92020576e+00 
 1.40202456e-04  2.14879086e+02  4.02020576e+00 
 1.41202456e-04  2.14856228e+02  4.12020576e+00 
 1.42202456e-04  2.14833372e+02  4.22020576e+00 
 1.43202456e-04  2.14810519e+02  4.32020576e+00 
 1.44202456e-04  2.14787668e+02  4.42020576e+00 
