 time            v(vout)         @l1[i]          v(ns1)         
 4.01070000e-05  1.07104063e+00  3.82741623e+00 -2.13503743e-01 
 4.01210000e-05  1.07150146e+00  3.82723636e+00 -2.13500896e-01 
 4.01490000e-05  1.07242296e+00  3.82687644e+00 -2.13494753e-01 
 4.02050000e-05  1.07426528e+00  3.82615581e+00 -2.13483400e-01 
 4.03170000e-05  1.07794714e+00  3.82471148e+00 -2.13461533e-01 
 4.05410000e-05  1.08529983e+00  3.82181053e+00 -2.13422903e-01 
 4.05561571e-05  1.08579679e+00  3.82161361e+00 -2.13419562e-01 
 4.05864713e-05  1.08679057e+00  3.82121961e+00 -2.13414995e-01 
 4.06470996e-05  1.08877732e+00  3.82043072e+00 -2.13405194e-01 
 4.07683563e-05  1.09274758e+00  3.81885142e+00 -2.09967018e-01 
 4.07871547e-05  1.09336265e+00  3.81865324e+00  3.91689816e-02 
 4.08247514e-05  1.09459284e+00  3.81944862e+00  6.37988216e+00 
 4.08588107e-05  1.09570766e+00  3.82202058e+00  1.09132658e+01 
 4.08903591e-05  1.09674108e+00  3.82551060e+00  1.34039993e+01 
 4.08982462e-05  1.09699962e+00  3.82652183e+00  1.39182428e+01 
 4.09140205e-05  1.09751684e+00  3.82860265e+00  1.46588272e+01 
 4.09455689e-05  1.09855220e+00  3.83302525e+00  1.55741288e+01 
 4.10065429e-05  1.10055692e+00  3.84218327e+00  1.66640989e+01 
 4.10746766e-05  1.10280315e+00  3.85310372e+00  1.75952134e+01 
 4.11908652e-05  1.10664988e+00  3.87313625e+00  1.90970107e+01 
 4.12912788e-05  1.10999184e+00  3.89159112e+00  1.98773503e+01 
 4.13753179e-05  1.11280193e+00  3.90738614e+00  1.99351391e+01 
 4.14402137e-05  1.11498019e+00  3.91960515e+00  1.99499498e+01 
 4.15035810e-05  1.11711412e+00  3.93154255e+00  1.99589978e+01 
 4.16303155e-05  1.12140263e+00  3.95542461e+00  1.99678392e+01 
 4.18837846e-05  1.13006226e+00  4.00319402e+00  1.99761184e+01 
 4.22837846e-05  1.14395175e+00  4.07855945e+00  1.99806086e+01 
 4.26837846e-05  1.15811457e+00  4.15388208e+00  1.99827743e+01 
 4.30837846e-05  1.17254998e+00  4.22915349e+00  1.99835962e+01 
 4.34837846e-05  1.18725721e+00  4.30436964e+00  1.99842834e+01 
 4.38837846e-05  1.20223552e+00  4.37952801e+00  1.99843977e+01 
 4.42837846e-05  1.21748411e+00  4.45462668e+00  1.99846545e+01 
 4.46837846e-05  1.23300220e+00  4.52966408e+00  1.99845317e+01 
 4.50837846e-05  1.24878902e+00  4.60463878e+00  1.99846108e+01 
 4.54837846e-05  1.26484376e+00  4.67954949e+00  1.99843751e+01 
 4.58837846e-05  1.28116564e+00  4.75439496e+00  1.99843707e+01 
 4.62837846e-05  1.29775386e+00  4.82917402e+00  1.99840771e+01 
 4.66837846e-05  1.31460762e+00  4.90388550e+00  1.99840278e+01 
 4.70837846e-05  1.33172611e+00  4.97852830e+00  1.99837024e+01 
 4.74837846e-05  1.34910853e+00  5.05310129e+00  1.99836279e+01 
 4.78837846e-05  1.36675408e+00  5.12760339e+00  1.99832845e+01 
 4.82837846e-05  1.38466194e+00  5.20203352e+00  1.99831956e+01 
 4.86837846e-05  1.40283129e+00  5.27639060e+00  1.99828419e+01 
 4.90837846e-05  1.42126133e+00  5.35067359e+00  1.99827447e+01 
 4.94837846e-05  1.43995123e+00  5.42488143e+00  1.99823850e+01 
 4.98837846e-05  1.45890016e+00  5.49901306e+00  1.99822830e+01 
 5.02837846e-05  1.47810732e+00  5.57306745e+00  1.99819200e+01 
 5.06837846e-05  1.49757186e+00  5.64704356e+00  1.99818153e+01 
 5.10837846e-05  1.51729296e+00  5.72094037e+00  1.99814506e+01 
 5.14837846e-05  1.53726980e+00  5.79475683e+00  1.99813445e+01 
 5.18837846e-05  1.55750152e+00  5.86849193e+00  1.99809790e+01 
 5.22837846e-05  1.57798731e+00  5.94214466e+00  1.99808722e+01 
 5.26837846e-05  1.59872631e+00  6.01571399e+00  1.99805064e+01 
 5.30837846e-05  1.61971769e+00  6.08919891e+00  1.99803995e+01 
 5.34837846e-05  1.64096061e+00  6.16259842e+00  1.99800338e+01 
 5.38837846e-05  1.66245421e+00  6.23591151e+00  1.99799269e+01 
 5.42837846e-05  1.68419766e+00  6.30913719e+00  1.99795615e+01 
 5.46837846e-05  1.70619009e+00  6.38227445e+00  1.99794549e+01 
 5.50837846e-05  1.72843067e+00  6.45532229e+00  1.99790900e+01 
 5.54837846e-05  1.75091852e+00  6.52827974e+00  1.99789838e+01 
 5.58837846e-05  1.77365280e+00  6.60114581e+00  1.99786194e+01 
 5.62837846e-05  1.79663265e+00  6.67391950e+00  1.99785136e+01 
 5.66837846e-05  1.81985720e+00  6.74659985e+00  1.99781497e+01 
 5.70837846e-05  1.84332558e+00  6.81918587e+00  1.99780445e+01 
 5.74837846e-05  1.86703695e+00  6.89167660e+00  1.99776813e+01 
 5.78837846e-05  1.89099041e+00  6.96407106e+00  1.99775765e+01 
 5.82837846e-05  1.91518512e+00  7.03636829e+00  1.99772139e+01 
 5.86837846e-05  1.93962018e+00  7.10856732e+00  1.99771097e+01 
 5.90837846e-05  1.96429474e+00  7.18066721e+00  1.99767479e+01 
 5.94837846e-05  1.98920790e+00  7.25266699e+00  1.99766442e+01 
 5.97918923e-05  2.00855990e+00  7.30805738e+00  1.99763364e+01 
 6.01000000e-05  2.02805255e+00  7.36338737e+00  1.99762865e+01 
 6.01100000e-05  2.02868763e+00  7.36518213e+00  1.99762527e+01 
 6.01300000e-05  2.02995810e+00  7.36877152e+00  1.99762721e+01 
 6.01650000e-05  2.03218283e+00  7.37505231e+00  1.99761064e+01 
 6.02000000e-05  2.03440937e+00  7.38133221e+00  1.99756439e+01 
 6.02070000e-05  2.03485493e+00  7.38258805e+00  1.99754671e+01 
 6.02210000e-05  2.03574620e+00  7.38509965e+00  1.99751139e+01 
 6.02490000e-05  2.03752960e+00  7.39012232e+00  1.99743581e+01 
 6.03050000e-05  2.04109987e+00  7.40016545e+00  1.99726109e+01 
 6.04170000e-05  2.04825428e+00  7.42024202e+00  1.99677457e+01 
 6.06410000e-05  2.06261844e+00  7.46033653e+00  1.99418048e+01 
 6.08584301e-05  2.07663017e+00  7.49777817e+00  1.86375973e+01 
 6.10638009e-05  2.08991502e+00  7.52291790e+00  1.00112325e+01 
 6.12170095e-05  2.09983929e+00  7.52720031e+00 -2.31185728e-01 
 6.13668165e-05  2.10953645e+00  7.52370143e+00 -2.30625063e-01 
 6.15341501e-05  2.12035334e+00  7.51977604e+00 -2.31173527e-01 
 6.17104747e-05  2.13173453e+00  7.51562030e+00 -2.30476440e-01 
 6.20631241e-05  2.15444475e+00  7.50724876e+00 -2.31143953e-01 
 6.24631241e-05  2.18012000e+00  7.49765649e+00 -2.30426075e-01 
 6.28631241e-05  2.20570541e+00  7.48796174e+00 -2.31122514e-01 
 6.32631241e-05  2.23120076e+00  7.47816488e+00 -2.30402184e-01 
 6.36631241e-05  2.25660581e+00  7.46826635e+00 -2.31055623e-01 
 6.40631241e-05  2.28192035e+00  7.45826652e+00 -2.30331481e-01 
 6.44631241e-05  2.30714415e+00  7.44816576e+00 -2.30987885e-01 
 6.48631241e-05  2.33227699e+00  7.43796442e+00 -2.30260804e-01 
 6.52631241e-05  2.35731865e+00  7.42766287e+00 -2.30917926e-01 
 6.56631241e-05  2.38226891e+00  7.41726148e+00 -2.30188091e-01 
 6.60631241e-05  2.40712756e+00  7.40676062e+00 -2.30846252e-01 
 6.64631241e-05  2.43189438e+00  7.39616065e+00 -2.30113691e-01 
 6.68631241e-05  2.45656916e+00  7.38546195e+00 -2.30772962e-01 
 6.72631241e-05  2.48115169e+00  7.37466489e+00 -2.30037648e-01 
 6.76631241e-05  2.50564177e+00  7.36376991e+00 -2.30661758e-01 
 6.80631241e-05  2.53003918e+00  7.35277738e+00 -2.29920772e-01 
 6.84631241e-05  2.55434373e+00  7.34168760e+00 -2.30585108e-01 
 6.88631241e-05  2.57855521e+00  7.33050095e+00 -2.29841253e-01 
 6.92631241e-05  2.60267342e+00  7.31921780e+00 -2.30506875e-01 
 6.96631241e-05  2.62669816e+00  7.30783852e+00 -2.29760099e-01 
 7.00631241e-05  2.65062924e+00  7.29636349e+00 -2.30427059e-01 
 7.04631241e-05  2.67446645e+00  7.28479309e+00 -2.29677312e-01 
 7.08631241e-05  2.69820962e+00  7.27312769e+00 -2.30345658e-01 
 7.12631241e-05  2.72185854e+00  7.26136768e+00 -2.29592886e-01 
 7.16631241e-05  2.74541303e+00  7.24951342e+00 -2.30262668e-01 
 7.20631241e-05  2.76887290e+00  7.23756531e+00 -2.29506819e-01 
 7.24631241e-05  2.79223797e+00  7.22552372e+00 -2.30178086e-01 
 7.28631241e-05  2.81550805e+00  7.21338904e+00 -2.29419104e-01 
 7.32631241e-05  2.83868296e+00  7.20116163e+00 -2.30091907e-01 
 7.36631241e-05  2.86176252e+00  7.18884190e+00 -2.29329739e-01 
